Model,Accuracy,Precision,Recall,F1-Score,ROC-AUC
Random Forest,0.8604651162790697,0.875,0.9333333333333333,0.9032258064516129,0.9294871794871795
XGBoost,0.8372093023255814,0.9259259259259259,0.8333333333333334,0.8771929824561403,0.9205128205128206
Logistic Regression,0.8372093023255814,0.96,0.8,0.8727272727272727,0.9358974358974359
Decision Tree,0.7906976744186046,0.92,0.7666666666666667,0.8363636363636363,0.7846153846153847
